,letter,stdev base 8,stdev base 32,stdev base 64
0,D,0.012540173286665832,0.012524134743629903,0.012559697734368006
1,I,0.0875839539395309,0.08761142282276019,0.08761229737729358
2,C,0.012734646331535199,0.012661215847727322,0.012779940877695777
3,F,0.013005117037510373,0.012748929674033446,0.012778816889876672
4,Q,0.01299850873692109,0.013000061122263169,0.013159115004006468
5,AA,0.013191958781483756,0.01298552137444434,0.013242900277526537
6,B,0.002995592990842181,0.0031077461062611073,0.0031175614132691524
7,J,0.003147031685662306,0.0031205087436631234,0.0032480610260691356
8,M,0.0029403734190166786,0.003006156841448786,0.003009614511152336
9,V,0.0031997864582849886,0.003210612546754881,0.0032316295140852767
10,A,0.0023251671731417413,0.0027626825762723157,0.0030521862990864775
11,G,0.0028819248754308,0.002970844809862729,0.0031509712124157597
12,N,0.002368480244040816,0.0027232021973023993,0.0026065035074133974
13,T,0.002787315746944653,0.0030248852685063944,0.003065046304753682
14,W,0.002324095578650088,0.0027414049848745927,0.0028475276935422946
15,Y,0.002248504385528939,0.0029069410888983307,0.0028120943721389037
16,AB,0.002591366960217006,0.0030733585248186534,0.002767361115509078
17,AD,0.0028259686517036766,0.002930000484955725,0.0031776160480853437
