,letter,input_days,output_days,experiment_name,weighted_metric
8,A,60,1,16_A_exp64,0.01241573505103588
2,C,30,1,16_C_exp64,0.013022261952455537
7,B,60,1,16_B_exp32,0.012672198417208841
2,D,30,1,16_D_exp64,0.013347835370236963
