,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
2,D,30,1,16_D_exp64,0.013347835370236963,0.015766137713667427,Min
3,D,30,7,16_D_exp8,0.018323750159943825,0.015766137713667427,Max
4,I,30,7,16_I_exp32,0.024849754083081724,0.03041222771634147,Min
0,I,30,1,16_I_exp8,0.03752683208025457,0.03041222771634147,Max
2,C,30,1,16_C_exp64,0.013022261952455537,0.015542459602139451,Min
3,C,30,7,16_C_exp8,0.01805032978311145,0.015542459602139451,Max
8,F,60,1,16_F_exp64,0.01319008177863746,0.015793689591137982,Min
10,F,60,7,16_F_exp32,0.018594379418721184,0.015793689591137982,Max
2,Q,30,1,16_Q_exp64,0.013184481020794031,0.015628377750365175,Min
9,Q,60,7,16_Q_exp8,0.0180709652221677,0.015628377750365175,Max
8,AA,60,1,16_AA_exp64,0.01307567837313887,0.015604664168307228,Min
3,AA,30,7,16_AA_exp8,0.017989363966946396,0.015604664168307228,Max
7,B,60,1,16_B_exp32,0.012672198417208841,0.015314199589267136,Min
3,B,30,7,16_B_exp8,0.017987529733819826,0.015314199589267136,Max
1,J,30,1,16_J_exp32,0.013417293380001234,0.016054946377404046,Min
9,J,60,7,16_J_exp8,0.01854066553850921,0.016054946377404046,Max
2,M,30,1,16_M_exp64,0.012982157883390284,0.015533495794660882,Min
3,M,30,7,16_M_exp8,0.018072149636108054,0.015533495794660882,Max
2,V,30,1,16_V_exp64,0.013385087492292006,0.016086482001948312,Min
9,V,60,7,16_V_exp8,0.018504787352310408,0.016086482001948312,Max
8,A,60,1,16_A_exp64,0.01241573505103588,0.015165881641830007,Min
11,A,60,7,16_A_exp64,0.0180857814848423,0.015165881641830007,Max
1,G,30,1,16_G_exp32,0.012514989823102951,0.015406524296849966,Min
3,G,30,7,16_G_exp8,0.01848347671329975,0.015406524296849966,Max
8,N,60,1,16_N_exp64,0.012435478158295156,0.01514608048213025,Min
9,N,60,7,16_N_exp8,0.017851930111646652,0.01514608048213025,Max
8,T,60,1,16_T_exp64,0.012541089206933977,0.015493832994252443,Min
4,T,30,7,16_T_exp32,0.01827903836965561,0.015493832994252443,Max
2,W,30,1,16_W_exp64,0.012433239258825779,0.015277897861475745,Min
5,W,30,7,16_W_exp64,0.01776597462594509,0.015277897861475745,Max
2,Y,30,1,16_Y_exp64,0.01244999747723341,0.015236941321442524,Min
4,Y,30,7,16_Y_exp32,0.017956430092453957,0.015236941321442524,Max
8,AB,60,1,16_AB_exp64,0.01250849850475788,0.015269222591693202,Min
10,AB,60,7,16_AB_exp32,0.01809229515492916,0.015269222591693202,Max
2,AD,30,1,16_AD_exp64,0.012516268528997898,0.01565617974847555,Min
3,AD,30,7,16_AD_exp8,0.01879960298538208,0.01565617974847555,Max
