,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,mape,mae,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
144,1,1,0,6,0,30,1,0.006594305858016014,0.006594305858016014,1155626.25,0.053763248026370995,3392,114.41659331321716,16_B_exp64,16_B.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,100,Network 1,B,Min
21,1,1,0,5,0,30,7,0.02112405747175217,0.021124055609107014,266112.0625,0.10497085750102997,3384,70.10651016235353,16_B_exp8,16_B.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,59,Network 1,B,Max
144,1,1,0,6,0,30,1,0.006744637619704008,0.006744637619704008,1000599.75,0.054227422922849655,3392,114.25378489494324,16_J_exp64,16_J.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,100,Network 2,J,Min
43,1,1,0,10,0,60,7,0.023092353716492653,0.02309235744178295,400080.84375,0.10974913835525513,2026,37.63548851013184,16_J_exp8,16_J.v1.l1.ds0.l_combo10.ds_combo0.idays60.odays7,50,Network 2,J,Max
144,1,1,0,6,0,30,1,0.006830284371972084,0.006830284371972084,1344932.25,0.05474168062210083,3392,114.66368246078493,16_V_exp64,16_V.v1.l1.ds0.l_combo6.ds_combo0.idays30.odays1,100,Network 3,V,Min
151,1,1,0,7,0,60,7,0.024493398144841198,0.02449340187013149,290969.0625,0.11606474965810774,2593,23.438620567321774,16_V_exp64,16_V.v1.l1.ds0.l_combo7.ds_combo0.idays60.odays7,24,Network 3,V,Max
86,1,1,0,6,0,60,1,0.007017921190708876,0.007017921190708876,1131435.625,0.05601319670677185,3362,117.65385937690736,16_M_exp32,16_M.v1.l1.ds0.l_combo6.ds_combo0.idays60.odays1,100,Network 4,M,Min
21,1,1,0,5,0,30,7,0.021005742251873016,0.021005742251873016,340073.625,0.10462015867233276,3384,93.77860498428343,16_M_exp8,16_M.v1.l1.ds0.l_combo5.ds_combo0.idays30.odays7,79,Network 4,M,Max
