,letter,mean base 8,mean base 32,mean base 64
0,D,0.01650926423939507,0.016310750615706762,0.016359499254231823
1,I,0.04222181567757648,0.041932816671384175,0.04192932181216873
2,C,0.016856476315297186,0.01644471134932246,0.016398326915805228
3,F,0.017008162292768247,0.016697918399586342,0.016628531870082952
4,Q,0.01682980958139524,0.01665208012855146,0.01669877817039378
5,AA,0.016906138000194915,0.016648355056531727,0.016686648144968785
6,B,0.0155008235713467,0.015022108812506001,0.015001328002351025
7,J,0.016213012509979308,0.01571699748747051,0.015789057989604772
8,M,0.01571363288288315,0.015277544742760558,0.015231582312844693
9,V,0.016272997840618093,0.015785396673406164,0.015746239565002422
10,A,0.015491761500015855,0.014939773827791214,0.015066109597682951
11,G,0.01574107352644205,0.015203251969069242,0.015275247395038605
12,N,0.015735695604234934,0.014964848756790161,0.014737697085365653
13,T,0.01581470132805407,0.015343408333137631,0.015323389321565628
14,W,0.015491234138607979,0.015228085219860077,0.015114374225959182
15,Y,0.015660891076549888,0.01505473256111145,0.014995200326666236
16,AB,0.015527018113061786,0.015250918921083212,0.01502973074093461
17,AD,0.016145089408382773,0.015429059974849224,0.015394389862194657
