,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
1,S,30,7,16_S_exp0.7,0.007261499762535095,0.010606896597892046,Min
2,S,60,1,16_S_exp0.7,0.012344452552497387,0.010606896597892046,Max
3,X,60,7,16_X_exp0.7,0.005241178907454014,0.008081193780526519,Min
1,X,30,7,16_X_exp0.7,0.012783754616975784,0.008081193780526519,Max
2,AC,60,1,16_AC_exp0.7,0.004783056676387787,0.009602667298167944,Min
3,AC,60,7,16_AC_exp0.7,0.015466008335351944,0.009602667298167944,Max
3,E,60,7,16_E_exp0.7,0.013589273241981331,0.0191329804024702,Min
1,E,30,7,16_E_exp0.7,0.02638076003081094,0.0191329804024702,Max
1,Z,30,7,16_Z_exp0.7,0.011925925223299405,0.020446999233999206,Min
3,Z,60,7,16_Z_exp0.7,0.026735026020062058,0.020446999233999206,Max
0,L,30,1,16_L_exp0.7,0.026011993553635385,0.03371074803489785,Min
3,L,60,7,16_L_exp0.7,0.04289370771100896,0.03371074803489785,Max
2,U,60,1,16_U_exp0.7,0.037545323458780935,0.04417684374284668,Min
1,U,30,7,16_U_exp0.7,0.053466195435570685,0.04417684374284668,Max
0,H,30,1,16_H_exp0.7,0.053469120463413185,0.06318392717762049,Min
2,H,60,1,16_H_exp0.7,0.0715035561880868,0.06318392717762049,Max
