,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,mape,mae,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
486,1.0,1.0,1.0,1.0,2.0,60.0,1.0,0.0016618539812043311,0.0016618539812043311,8995012.0,0.018217712640762333,3307.0,19.745123386383053,16_D_exp64,16_D.v1.l1.ds1.l_combo1.ds_combo2.idays60.odays1,17.0,Network 1,D,Min
93,1.0,1.0,1.0,5.0,4.0,30.0,7.0,0.05758877843618392,0.057588774710893624,412665.3125,0.19898468255996704,3384.0,29.938573360443115,16_D_exp8,16_D.v1.l1.ds1.l_combo5.ds_combo4.idays30.odays7,25.0,Network 1,D,Max
21,1.0,1.0,1.0,1.0,2.0,30.0,7.0,0.0018207678804174066,0.0018207677640020847,15.656457901000975,0.010007471777498722,3331.0,13.135430097579956,16_I_exp8,16_I.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays7,11.0,Network 2,I,Min
253,1.0,1.0,1.0,1.0,2.0,30.0,7.0,0.0018207678804174066,0.0018207677640020847,15.656457901000975,0.010007471777498722,3331.0,13.172682285308838,16_I_exp32,16_I.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays7,11.0,Network 2,I,Min
485,1.0,1.0,1.0,1.0,2.0,30.0,7.0,0.0018207678804174066,0.0018207677640020847,15.656457901000975,0.010007471777498722,3331.0,13.50552248954773,16_I_exp64,16_I.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays7,11.0,Network 2,I,Min
92,1.0,1.0,1.0,5.0,4.0,30.0,1.0,0.39938828349113453,0.39938828349113453,99.92625427246094,0.5860598683357239,3390.0,13.107948541641235,16_I_exp8,16_I.v1.l1.ds1.l_combo5.ds_combo4.idays30.odays1,11.0,Network 2,I,Max
324,1.0,1.0,1.0,5.0,4.0,30.0,1.0,0.39938828349113453,0.39938828349113453,99.92625427246094,0.5860598683357239,3390.0,13.346846342086792,16_I_exp32,16_I.v1.l1.ds1.l_combo5.ds_combo4.idays30.odays1,11.0,Network 2,I,Max
556,1.0,1.0,1.0,5.0,4.0,30.0,1.0,0.39938828349113453,0.39938828349113453,99.92625427246094,0.5860598683357239,3390.0,12.803608894348145,16_I_exp64,16_I.v1.l1.ds1.l_combo5.ds_combo4.idays30.odays1,11.0,Network 2,I,Max
