,dataset_name,input_size,output_size
0,13_F.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays1,63,15
1,13_F.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays7,63,15
2,13_F.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays1,63,15
3,13_F.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays7,63,15
4,13_F.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays1,54,15
5,13_F.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays7,54,15
6,13_F.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays1,54,15
7,13_F.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays7,54,15
8,13_F.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays1,20,15
9,13_F.v1.l0.ds1.l_combo0.ds_combo4.idays30.odays7,20,15
10,13_F.v1.l0.ds1.l_combo0.ds_combo4.idays60.odays1,20,15
11,13_F.v1.l0.ds1.l_combo0.ds_combo4.idays60.odays7,20,15
