,dataset_name,input_size,output_size
0,3_Q.v1.l0.ds1.l_combo0.ds_combo0.idays30.odays1,75,90
1,3_Q.v1.l0.ds1.l_combo0.ds_combo0.idays30.odays7,75,90
2,3_Q.v1.l0.ds1.l_combo0.ds_combo0.idays60.odays1,75,90
3,3_Q.v1.l0.ds1.l_combo0.ds_combo0.idays60.odays7,75,90
4,3_Q.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays1,15,15
5,3_Q.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays7,15,15
6,3_Q.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays1,15,15
7,3_Q.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays7,15,15
8,3_Q.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,64,76
9,3_Q.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,64,76
10,3_Q.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,64,76
11,3_Q.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,64,76
12,3_Q.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays1,28,28
13,3_Q.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays7,28,28
14,3_Q.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays1,28,28
15,3_Q.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays7,28,28
