,Slate,Model Letter,Network,Separation_Scheme,Mean Metric,Best Metric,Best Input Days,Best Output Days,Best Base
0,22,A,1,4,0.018866435624659058,0.016746088862419132,60,1,32
1,22,B,1,3,0.01874051843208968,0.01759915062062004,60,1,64
2,22,C,1,2,0.01895870136749913,0.017164897463213997,30,1,64
3,22,F,2,2,0.01924159101775328,0.017283909553035846,30,1,32
4,22,G,2,4,0.018824146284411352,0.016830863431096073,60,1,32
5,22,J,2,3,0.019355066564763667,0.018396619703432843,30,1,32
6,22,M,2,3,0.01895886065561653,0.017941750754297027,60,1,64
7,22,N,2,4,0.018786860164254904,0.016881104558706284,60,1,32
8,22,Q,2,2,0.0191497980698184,0.01743752309590766,60,1,32
9,22,T,3,4,0.018806885307033856,0.0165816992521286,30,1,32
10,22,V,3,3,0.019434300402612414,0.01840645547940576,30,1,64
11,22,W,3,4,0.018773874112715326,0.016754647716879845,30,1,32
12,22,Y,3,4,0.01882415420065324,0.016704197973012924,60,1,64
13,22,AA,3,2,0.019399091403107017,0.017462663900326282,60,1,64
14,22,AB,3,4,0.01874121588965257,0.01679074577987194,30,1,32
15,22,AD,4,4,0.018978246953338385,0.017069492489099503,30,1,64
