,letter,input_days,output_days,experiment_name,weighted_metric
1,T,30,1,22_T_exp32,0.0165816992521286
2,C,30,1,22_C_exp64,0.017164897463213997
8,B,60,1,22_B_exp64,0.01759915062062004
