,letter,input_days,output_days,experiment_name,weighted_metric
1,AC,30,7,22_AC_exp0.7,0.0014983650762587786
0,E,30,1,22_E_exp0.7,0.005442281870930573
0,L,30,1,22_L_exp0.7,0.01570321086886096
0,H,30,1,22_H_exp0.7,0.05364990793046637
