,letter,mean base 8,mean base 32,mean base 64
0,C,0.01843001664383337,0.018463813020692516,0.01845088292611763
1,F,0.01847018792371576,0.018561675504315645,0.0187298960906143
2,Q,0.018625892718167354,0.018569781541979562,0.018784329935442656
3,AA,0.01874137093545869,0.018945889760895323,0.01887310346743713
4,B,0.018047795370997242,0.01799202466305966,0.017916299713154633
5,J,0.018687720266946903,0.018562961451243608,0.018625774498408038
6,M,0.018336984682052086,0.018212965965115777,0.01820135269857322
7,V,0.01879151890364786,0.01871215336335202,0.018607528321444987
8,A,0.018956422340124846,0.018753814045339823,0.018889070488512516
9,G,0.01913885260000825,0.018616633024066687,0.018716953229159117
10,N,0.019044891465455294,0.018624240532517433,0.018691448494791985
11,T,0.019134005066007376,0.018542570993304253,0.018744079861789942
12,W,0.018940491136163473,0.01861899672076106,0.018762134481221437
13,Y,0.018931898288428783,0.0187414288520813,0.018799135461449623
14,AB,0.018793285358697176,0.0187548347748816,0.018675527535378933
15,AD,0.019107514061033726,0.01889474969357252,0.018932477105408907
