,letter,mean base 8,mean base 32,mean base 64
0,I,0.03162580072038795,0.03157677317935384,0.03170474004055629
1,F,0.016091052792035043,0.015738333502667956,0.01567673408135306
2,Q,0.01614728508866392,0.015200018518953584,0.015108347302884795
3,AA,0.01648702021338977,0.015525357404840179,0.015253392542945221
4,AI,0.01666364997799974,0.014924010873073712,0.015444819793628994
5,J,0.015145826859710117,0.014323721298327048,0.01424720404514422
6,M,0.020783544331789017,0.019742051574091115,0.01972915225972732
7,V,0.02054725311075648,0.01975032244808972,0.019496033480390907
8,AF,0.014827199932187795,0.01419546223866443,0.013812389131635428
9,G,0.015268215676769614,0.013900862541049719,0.013158015673980117
10,N,0.01530100917443633,0.014178281417116523,0.013759450521320105
11,T,0.014848779421299698,0.013986593810841441,0.01263889716938138
12,W,0.015254746656864882,0.014018577989190817,0.013617787277325988
13,Y,0.015399401541799307,0.0145667374599725,0.013901118421927094
14,AB,0.015402545919641852,0.013883993262425065,0.013391164829954505
15,AD,0.014971512369811535,0.013478606473654509,0.013001353712752461
16,AG,0.015466510783880949,0.015102560399100184,0.013830883428454399
17,AJ,0.014576872577890754,0.014018612215295434,0.013384715188294649
