,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
1,I,30,1,3_I_exp32,0.016757678725694353,0.024048582348240907,Min
8,I,60,1,3_I_exp64,0.029539303618492236,0.024048582348240907,Max
7,F,60,1,3_F_exp32,0.01282739202139908,0.01503526788012554,Min
9,F,60,7,3_F_exp8,0.01833945390006358,0.01503526788012554,Max
8,Q,60,1,3_Q_exp64,0.01246999084847003,0.014555597148109318,Min
9,Q,60,7,3_Q_exp8,0.016999521076625758,0.014555597148109318,Max
8,AA,60,1,3_AA_exp64,0.011656091742342313,0.014537432214205842,Min
3,AA,30,7,3_AA_exp8,0.017040582491824646,0.014537432214205842,Max
7,AI,60,1,3_AI_exp32,0.01155600360144625,0.014779707517757479,Min
9,AI,60,7,3_AI_exp8,0.01789511092849361,0.014779707517757479,Max
2,J,30,1,3_J_exp64,0.012544475484675056,0.014728052383051082,Min
3,J,30,7,3_J_exp8,0.017243762380269725,0.014728052383051082,Max
2,M,30,1,3_M_exp64,0.013538519776109877,0.017677472374049954,Min
9,M,60,7,3_M_exp8,0.0267571910600842,0.017677472374049954,Max
7,V,60,1,3_V_exp32,0.013405484289964706,0.017583505448809513,Min
9,V,60,7,3_V_exp8,0.026533671788443503,0.017583505448809513,Max
8,AF,60,1,3_AF_exp64,0.0118734523047956,0.014413658641293597,Min
9,AF,60,7,3_AF_exp8,0.016940197439498882,0.014413658641293597,Max
8,G,60,1,3_G_exp64,0.01183584425598383,0.014109031297266483,Min
3,G,30,7,3_G_exp8,0.017120344564318657,0.014109031297266483,Max
2,N,30,1,3_N_exp64,0.01156217698007822,0.014412913704290986,Min
3,N,30,7,3_N_exp8,0.017450714483857155,0.014412913704290986,Max
8,T,60,1,3_T_exp64,0.010574831627309322,0.013824756800507506,Min
9,T,60,7,3_T_exp8,0.01737005077302456,0.013824756800507506,Max
2,W,30,1,3_W_exp64,0.011824101209640505,0.014297037307793895,Min
3,W,30,7,3_W_exp8,0.01790369488298893,0.014297037307793895,Max
2,Y,30,1,3_Y_exp64,0.01265091635286808,0.014622419141232967,Min
9,Y,60,7,3_Y_exp8,0.017016712576150894,0.014622419141232967,Max
8,AB,60,1,3_AB_exp64,0.011138593778014185,0.014225901337340474,Min
3,AB,30,7,3_AB_exp8,0.017197087407112118,0.014225901337340474,Max
7,AD,60,1,3_AD_exp32,0.01094705332070589,0.013817157518739501,Min
9,AD,60,7,3_AD_exp8,0.016838300973176956,0.013817157518739501,Max
8,AG,60,1,3_AG_exp64,0.011480570770800114,0.01479998487047851,Min
9,AG,60,7,3_AG_exp8,0.0180068239569664,0.01479998487047851,Max
