,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
0,I,30,1,9_I_exp8,0.02089097396148655,0.02498395888224794,Min
3,I,30,7,9_I_exp8,0.02913700168702805,0.02498395888224794,Max
8,F,60,1,9_F_exp64,0.01231500255300454,0.014795824900871826,Min
3,F,30,7,9_F_exp8,0.017673260108991104,0.014795824900871826,Max
0,Q,30,1,9_Q_exp8,0.01206545703309147,0.01462587132397148,Min
9,Q,60,7,9_Q_exp8,0.017099207257138985,0.01462587132397148,Max
2,AA,30,1,9_AA_exp64,0.012447374562051094,0.014571817259343589,Min
9,AA,60,7,9_AA_exp8,0.017274054310966337,0.014571817259343589,Max
1,J,30,1,9_J_exp32,0.01261599421162497,0.014750223347814709,Min
3,J,30,7,9_J_exp8,0.01704805203976386,0.014750223347814709,Max
2,M,30,1,9_M_exp64,0.012298198285374488,0.014415654075106208,Min
3,M,30,7,9_M_exp8,0.01703658325677853,0.014415654075106208,Max
1,V,30,1,9_V_exp32,0.012560903027867585,0.014678600579544758,Min
3,V,30,7,9_V_exp8,0.01729726000426061,0.014678600579544758,Max
8,G,60,1,9_G_exp64,0.011882158927619456,0.01412437972612679,Min
9,G,60,7,9_G_exp8,0.016847653314471245,0.01412437972612679,Max
2,N,30,1,9_N_exp64,0.011805369518697262,0.014606879946465293,Min
9,N,60,7,9_N_exp8,0.017883120104670525,0.014606879946465293,Max
8,T,60,1,9_T_exp64,0.011687560006976128,0.014009096349279085,Min
9,T,60,7,9_T_exp8,0.017683982849121094,0.014009096349279085,Max
7,W,60,1,9_W_exp32,0.012273232452571392,0.014538763634239634,Min
3,W,30,7,9_W_exp8,0.01730920746922493,0.014538763634239634,Max
2,Y,30,1,9_Y_exp64,0.011465840972959995,0.014989190036430955,Min
3,Y,30,7,9_Y_exp8,0.01879817806184292,0.014989190036430955,Max
2,AB,30,1,9_AB_exp64,0.010951577685773373,0.014314742370819053,Min
9,AB,60,7,9_AB_exp8,0.016702432185411453,0.014314742370819053,Max
1,AD,30,1,9_AD_exp32,0.011470623314380646,0.01383210183121264,Min
3,AD,30,7,9_AD_exp8,0.01694924384355545,0.01383210183121264,Max
