,letter,mean base 8,mean base 32,mean base 64
0,I,0.03257848612225518,0.03233709307497865,0.032346179372388144
1,F,0.016526879233424552,0.015812662793905474,0.015136817688471638
2,Q,0.015727341116871685,0.015707471247878857,0.015498457607463934
3,AA,0.01624569683917798,0.01568455746746622,0.015323686951887794
4,J,0.01507718845581015,0.01441371770730863,0.014287310761089127
5,M,0.01474527152410398,0.014234157667184869,0.013757205273335179
6,V,0.0151440703154852,0.01428616673996051,0.014136666307846706
7,G,0.014734711963683367,0.014316197950392962,0.013322229264304042
8,N,0.015630607027560472,0.014161208644509315,0.014028824167326093
9,T,0.01498762657865882,0.013826979557052255,0.013212682912126184
10,W,0.01494691101834178,0.014472056645900011,0.01419732323847711
11,Y,0.016172993928194046,0.014660111628472805,0.014134464552626014
12,AB,0.014673544326797128,0.014718390768393874,0.013552292017266154
13,AD,0.014899280620738864,0.013410095823928714,0.013186929048970342
