,letter,stdev base 8,stdev base 32,stdev base 64
0,D,0.011515956615613816,0.011262723606305227,0.011627111608725288
1,I,0.09276097642488178,0.09261643823238579,0.09255463769956576
2,C,0.011625974558085679,0.011203867915707849,0.011296698322532443
3,F,0.01155491289406028,0.011419788053947194,0.010497402450420678
4,Q,0.011740122357217294,0.011172180447633307,0.011630824763378842
5,AA,0.011147986442299373,0.011400318216353246,0.011164315860094124
6,AI,0.011868038217818747,0.011418791422832463,0.011791835420368688
7,B,0.002905431218350926,0.0028789761496265235,0.0025152077983098967
8,J,0.03472683934174099,0.036070634430540066,0.03691394828397052
9,M,0.03620079600265274,0.03808613810290325,0.035965769270204694
10,V,0.0353651842181395,0.035208295202176804,0.03591992666021654
11,AF,0.002965951796281045,0.003199182536584319,0.002851109592903422
12,A,0.002416066890613154,0.0027385491324418663,0.0016401028270025902
13,G,0.0023478421332750903,0.001803629608664684,0.0009799623555918073
14,N,0.0026459162253620783,0.0018348587839197657,0.0017990634074562383
15,T,0.002790677942603903,0.001950891965830851,0.0007060944767916738
16,W,0.0032475418769161222,0.0017347326829843877,0.0015621841591691523
17,Y,0.0016695650330804022,0.0029468406502012015,0.00221300562221082
18,AB,0.0023709429635436737,0.002110848619626542,0.001365365529069501
19,AD,0.002601296692683786,0.0020773420161397512,0.000954803886787006
20,AG,0.0022200024550834666,0.002607630390134077,0.001991932166121881
21,AJ,0.0024747807277030074,0.0016505863384260275,0.0008371286957457016
