,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
1,D,30,1,2_D_exp32,0.012654582557099113,0.014629048935278428,Min
3,D,30,7,2_D_exp8,0.01693567734002246,0.014629048935278428,Max
8,I,60,1,2_I_exp64,0.034771764920534264,0.0377699802783756,Min
9,I,60,7,2_I_exp8,0.04167631564831193,0.0377699802783756,Max
8,C,60,1,2_C_exp64,0.011936237351550012,0.014409587392602057,Min
3,C,30,7,2_C_exp8,0.01698385810693414,0.014409587392602057,Max
2,F,30,1,2_F_exp64,0.012927379800033485,0.014620816395146419,Min
9,F,60,7,2_F_exp8,0.017452781734783117,0.014620816395146419,Max
7,Q,60,1,2_Q_exp32,0.011846046452521923,0.014719910947981021,Min
9,Q,60,7,2_Q_exp8,0.017505398727552385,0.014719910947981021,Max
8,AA,60,1,2_AA_exp64,0.012603526683212327,0.0148518381220143,Min
3,AA,30,7,2_AA_exp8,0.01756720858933538,0.0148518381220143,Max
2,AI,30,1,2_AI_exp64,0.012617027121885685,0.014665333716053238,Min
9,AI,60,7,2_AI_exp8,0.017408590168919432,0.014665333716053238,Max
7,B,60,1,2_B_exp32,0.011745412014068314,0.014081004100400163,Min
3,B,30,7,2_B_exp8,0.016777229352751704,0.014081004100400163,Max
8,J,60,1,2_J_exp64,0.013603468242872271,0.017727106945155457,Min
9,J,60,7,2_J_exp8,0.02633700371858036,0.017727106945155457,Max
8,M,60,1,2_M_exp64,0.012935825619115784,0.017613495610568203,Min
9,M,60,7,2_M_exp8,0.026818016178585133,0.017613495610568203,Max
7,V,60,1,2_V_exp32,0.013462625911824727,0.0176337596635814,Min
9,V,60,7,2_V_exp8,0.026377923982708083,0.0176337596635814,Max
2,AF,30,1,2_AF_exp64,0.012480037453980963,0.014756756189109925,Min
3,AF,30,7,2_AF_exp8,0.017388399886457545,0.014756756189109925,Max
1,A,30,1,2_A_exp32,0.011228706687688828,0.014471210073679686,Min
3,A,30,7,2_A_exp8,0.018001718446612358,0.014471210073679686,Max
7,G,60,1,2_G_exp32,0.012099792249500751,0.014083686750382185,Min
9,G,60,7,2_G_exp8,0.016844544559717182,0.014083686750382185,Max
8,N,60,1,2_N_exp64,0.010636024177074429,0.014275086034710208,Min
9,N,60,7,2_N_exp8,0.018011515960097313,0.014275086034710208,Max
7,T,60,1,2_T_exp32,0.01206720620393753,0.014336319329837957,Min
9,T,60,7,2_T_exp8,0.017450861632823944,0.014336319329837957,Max
0,W,30,1,2_W_exp8,0.011104382574558258,0.01426576318529745,Min
9,W,60,7,2_W_exp8,0.01736631989479065,0.01426576318529745,Max
7,Y,60,1,2_Y_exp32,0.01125345379114151,0.014231839294855794,Min
10,Y,60,7,2_Y_exp32,0.01681218482553959,0.014231839294855794,Max
8,AB,60,1,2_AB_exp64,0.012187416665256023,0.014526615384966135,Min
3,AB,30,7,2_AB_exp8,0.017628980800509453,0.014526615384966135,Max
7,AD,60,1,2_AD_exp32,0.011553932912647724,0.013938081838811437,Min
3,AD,30,7,2_AD_exp8,0.017352130264043808,0.013938081838811437,Max
1,AG,30,1,2_AG_exp32,0.011311329901218414,0.014472144500662884,Min
9,AG,60,7,2_AG_exp8,0.01728830486536026,0.014472144500662884,Max
