letter,input_days,output_days,experiment_name,weighted_metric
A,30,1,5_A_exp8,0.014202152378857138
A,30,1,5_A_exp32,0.014189500361680984
A,30,1,5_A_exp64,0.012733246199786665
A,30,7,5_A_exp8,0.018828315660357475
A,30,7,5_A_exp32,0.01735500805079937
A,30,7,5_A_exp64,0.015322805382311344
A,60,1,5_A_exp8,0.01388398464769125
A,60,1,5_A_exp32,0.011578206904232502
A,60,1,5_A_exp64,0.01233706995844841
A,60,7,5_A_exp8,0.01804717443883419
A,60,7,5_A_exp32,0.017775440588593483
A,60,7,5_A_exp64,0.016434049233794212
