letter,input_days,output_days,experiment_name,weighted_metric
D,30,1,5_D_exp8,0.013352316909844113
D,30,1,5_D_exp32,0.01369471014141268
D,30,1,5_D_exp64,0.013503010451947291
D,30,7,5_D_exp8,0.01789693349069849
D,30,7,5_D_exp32,0.017604923327021377
D,30,7,5_D_exp64,0.017406039746458997
D,60,1,5_D_exp8,0.013782375261725228
D,60,1,5_D_exp32,0.013759983434658687
D,60,1,5_D_exp64,0.01392176362791473
D,60,7,5_D_exp8,0.017804020996560754
D,60,7,5_D_exp32,0.01722994489960143
D,60,7,5_D_exp64,0.016723293417431024
