,letter,mean base 8,mean base 32,mean base 64
0,D,0.016504231042385666,0.016915156258280974,0.016510564918822045
1,I,0.04149463230850267,0.04152085882311059,0.04176399928753178
2,C,0.017006676779904712,0.01672620140016079,0.016024584222274523
3,F,0.017045758305660758,0.01683230009318019,0.016157982347067446
4,Q,0.018446444805401068,0.01654288750917961,0.017122133848412584
5,AA,0.0178044368706954,0.017247593981058646,0.016709052375517786
6,AI,0.017324509390164167,0.01682348611454169,0.01762808805021147
7,B,0.016640787517341476,0.016347984216796854,0.016317009173023204
8,J,0.017314726021140814,0.017323882870065668,0.01715838462890436
9,M,0.017139539960771798,0.016827595288244387,0.01675705749851962
10,V,0.017565547310126325,0.017217539390549062,0.017152120483418305
11,AF,0.017117342608980835,0.01672156814796229,0.01664281787040333
12,A,0.017210856080055237,0.017501674126833677,0.016701130662113428
13,G,0.01706538489088416,0.017145255114883184,0.016749010886996984
14,N,0.017704731784760952,0.01732642389833927,0.016707164701074362
15,T,0.017185265896841884,0.017096333671361208,0.015877363039180636
16,W,0.017456304281949997,0.01682179095223546,0.01570728700608015
17,Y,0.018349867779761553,0.017533408012241125,0.016177237033843994
18,AB,0.01792582729831338,0.01672948058694601,0.01684175431728363
19,AD,0.017813578248023987,0.016782160848379135,0.01647417526692152
20,AG,0.01697665243409574,0.017465293407440186,0.016780232079327106
21,AJ,0.017468131612986326,0.017366408370435238,0.01642632018774748
