,letter,input_days,output_days,experiment_name,weighted_metric
6,AD,60,1,4_AD_exp8,0.01595185697078705
4,AI,30,7,4_AI_exp32,0.016519673389750494
7,J,60,1,4_J_exp32,0.017154087786007074
4,I,30,7,4_I_exp32,0.03026215928438425
