letter,input_days,output_days,experiment_name,weighted_metric
A,30,1,16_A_exp8,0.01344597153365612
A,30,1,16_A_exp32,0.012440972030162813
A,30,1,16_A_exp64,0.01245902106165886
A,30,7,16_A_exp8,0.017263980582356453
A,30,7,16_A_exp32,0.017307879403233528
A,30,7,16_A_exp64,0.017303900793194767
A,60,1,16_A_exp8,0.013524292968213558
A,60,1,16_A_exp32,0.01265599764883518
A,60,1,16_A_exp64,0.01241573505103588
A,60,7,16_A_exp8,0.017732800915837288
A,60,7,16_A_exp32,0.017354246228933334
A,60,7,16_A_exp64,0.0180857814848423
