letter,input_days,output_days,experiment_name,weighted_metric
AB,30,1,16_AB_exp8,0.012889760546386242
AB,30,1,16_AB_exp32,0.012503830716013908
AB,30,1,16_AB_exp64,0.01290444191545248
AB,30,7,16_AB_exp8,0.0184465404599905
AB,30,7,16_AB_exp32,0.016114821657538414
AB,30,7,16_AB_exp64,0.016905676573514942
AB,60,1,16_AB_exp8,0.012794715352356434
AB,60,1,16_AB_exp32,0.01221572421491146
AB,60,1,16_AB_exp64,0.012482092715799809
AB,60,7,16_AB_exp8,0.01748793944716454
AB,60,7,16_AB_exp32,0.01641637273132801
AB,60,7,16_AB_exp64,0.015229334123432638
